city,lat,lng,country,iso2,admin_name,capital,population,population_proper
London,51.5072,-0.1275,United Kingdom,GB,"London, City of",primary,10979000,8825001
Birmingham,52.48,-1.9025,United Kingdom,GB,Birmingham,,2897303,1137100
Manchester,53.4794,-2.2453,United Kingdom,GB,Manchester,,2705000,547627
Leeds,53.7997,-1.5492,United Kingdom,GB,Leeds,,1901934,789194
Newcastle,55.0077,-1.6578,United Kingdom,GB,Newcastle upon Tyne,,1650000,879996
Birstall,52.6736,-1.12,United Kingdom,GB,Leicester,,1424216,1424216
Liverpool,53.4,-2.9833,United Kingdom,GB,Liverpool,,864122,513441
Portsmouth,50.8058,-1.0872,United Kingdom,GB,Portsmouth,,855679,238800
Southampton,50.9,-1.4,United Kingdom,GB,Southampton,,855569,269781
Nottingham,52.95,-1.15,United Kingdom,GB,Nottingham,,768638,321500
Bristol,51.45,-2.5833,United Kingdom,GB,"Bristol, City of",,724000,463400
Sheffield,53.3833,-1.4667,United Kingdom,GB,Sheffield,,685368,518090
Kingston upon Hull,53.7444,-0.3325,United Kingdom,GB,"Kingston upon Hull, City of",,573300,260200
Leicester,52.6333,-1.1333,United Kingdom,GB,Leicester,,508916,329839
Caerdydd,51.4833,-3.1833,United Kingdom,GB,Cardiff,,479000,361469
Stoke-on-Trent,53,-2.1833,United Kingdom,GB,Stoke-on-Trent,,372775,249008
Coventry,52.4081,-1.5106,United Kingdom,GB,Coventry,,362690,362690
Reading,51.4542,-0.9731,United Kingdom,GB,Reading,,337108,230046
Derby,52.9167,-1.4667,United Kingdom,GB,Derby,,270500,248700
Plymouth,50.3714,-4.1422,United Kingdom,GB,Plymouth,,267918,267918
Wolverhampton,52.5833,-2.1333,United Kingdom,GB,Wolverhampton,,254406,250970
Abertawe,51.6167,-3.95,United Kingdom,GB,Swansea,,245508,245508
Milton Keynes,52.04,-0.76,United Kingdom,GB,Milton Keynes,,229941,207057
Norwich,52.63,1.297,United Kingdom,GB,Norfolk,,213166,195971
Luton,51.8783,-0.4147,United Kingdom,GB,Luton,,213052,213052
